ticker,company,ein,matched_name,tax_period,return_type,sector
CIEN,Ciena Corporation,352166479,THE QAZI FOUNDATION C/O CIENA HEALTHCARE MANAGEMENT INC,202212,990PF,Technology
TKO,TKO Group Holdings,472113249,TKO STRONG FOUNDATION INC,202212,990EZ,Communication Services
WSM,Williams-Sonoma,203424952,WILLIAMS-SONOMA INC FOUNDATION,202301,990PF,Consumer Cyclical
CRWD,CrowdStrike,821515943,THE CROWDSTRIKE FOUNDATION,202212,990PF,Technology
KKR,KKR,133928587,PERRY & DONNA GOLKIN FAMILY FOUNDATION C/O KKR FIN SVS CO LLC,202211,990PF,Financial Services
KKR,KKR,943254854,GREENE VAN ARSDALE FOUNDATION CO KKR ACCOUNTING SERVICES LLC,202212,990PF,Financial Services
GEV,GE Vernova,932481739,GE VERNOVA FOUNDATION I,202312,990PF,Utilities
JBL,Jabil,882162851,JABIL CARES FOUNDATION INC,202208,990PF,Technology
BX,Blackstone Inc.,260462996,THE BLACKSTONE CHARITABLE FOUNDATION,202212,990PF,Financial Services
BX,Blackstone Inc.,043467394,BLACKSTONE VALLEY EDUCATION FOUNDATION INC,202306,990,Financial Services
BX,Blackstone Inc.,521538719,MATILDA AND MURRAY BLACKSTONE FOUNDATION,202212,990PF,Financial Services
GEHC,GE HealthCare,933085979,GE HEALTHCARE CHARITABLE FOUNDATION,202312,990PF,Healthcare
STLD,Steel Dynamics,263012038,STEEL DYNAMICS FOUNDATION INC,202212,990PF,Basic Materials
EQT,EQT Corporation,043747289,EQT FOUNDATION,202212,990PF,Energy
PCG,PG&E Corporation,943358729,THE PG&E CORPORATION FOUNDATION,202212,990PF,Utilities
ON,ON Semiconductor,833782653,ON SEMICONDUCTOR FOUNDATION,202212,990PF,Technology
NDSN,Nordson Corporation,341596194,THE NORDSON CORPORATION FOUNDATION,202210,990PF,Industrials
CEG,Constellation Energy,521452037,CONSTELLATION ENERGY FOUNDATION INC,202212,990PF,Utilities
CEG,Constellation Energy,521452037,CONSTELLATION ENERGY FOUNDATION INC CFND01,202312,990PF,Utilities
FDS,FactSet,873645269,FACTSET CHARITABLE FOUNDATION,202308,990PF,Financial Services
BRO,Brown & Brown,363701371,1335 FOUNDATION C/O BROWN & BROWN LLC,202212,990PF,Financial Services
BRO,Brown & Brown,203617312,BROWN & BROWN DISASTER RELIEF FOUNDATION INC,202212,990,Financial Services
BRO,Brown & Brown,363701371,1335 FOUNDATION C/O BROWN & BROWN IG LLC,202312,990PF,Financial Services
MRNA,Moderna,871807181,MODERNA CHARITABLE FOUNDATION INC,202212,990PF,Healthcare
CRL,Charles River Laboratories,510188208,CHARLES RIVER LABORATORIES FOUNDATION INC,202210,990PF,Healthcare
PTC,PTC Inc.,825383610,PTC FOUNDATION INC,202209,990PF,Technology
PTC,PTC Inc.,832469794,PTC COMMUNITY IMPACT FUND CORP C/O PIONEER TITLE COMPANY,202212,990PF,Technology
GNRC,Generac,881928522,GENERAC FOUNDATION INC,202212,990PF,Industrials
TRMB,Trimble Inc.,371380272,TRIMBLE FOUNDATION,202212,990PF,Technology
TRMB,Trimble Inc.,996033578,ALICE P TRIMBLE FOUNDATION,202210,990EZ,Technology
TRMB,Trimble Inc.,300135395,BARBARA AND JOHN TRIMBLE FAMILY FOUNDATION INC,202212,990PF,Technology
POOL,Pool Corporation,851358489,FRIENDS OF THE POOL & PARK FOUNDATION,202212,990EZ,Industrials
POOL,Pool Corporation,461879809,TEXAS POOL FOUNDATION,202212,990EZ,Industrials
POOL,Pool Corporation,476498760,FRANCIS POOL CHARITABLE TRUST UMA,202307,990PF,Industrials
DPZ,Domino's,581703733,DOMINO'S PIZZA PARTNERS FOUNDATION,202212,990,Consumer Cyclical
STE,Steris,341807803,STERIS FOUNDATION,202303,990PF,Healthcare
ZBRA,Zebra Technologies,886668828,ZEBRA TECHNOLOGIES CORPORATION CHARITABLE FOUNDATION,202212,990PF,Technology
ODFL,Old Dominion,546036792,OLD DOMINION BOX CO FOUNDATION INC,202211,990PF,Industrials
ODFL,Old Dominion,834431129,OLD DOMINION CONSERVATION AND EDUCATIONAL FOUNDATION,202212,990EZ,Industrials
ODFL,Old Dominion,812652321,OLD DOMINION UNIVERSITY MUSEUM FOUNDATION,202206,990,Industrials
IEX,IDEX Corporation,471141222,IDEX FOUNDATION,202212,990PF,Industrials
LDOS,Leidos,203922378,LEIDOS RELIEF FOUNDATION,202212,990,Technology
AMCR,Amcor,416038616,THE AMCOR CARES FOUNDATION,202212,990PF,Consumer Cyclical
CTVA,Corteva,421388269,CORTEVA AGRISCIENCE FOUNDATION,202212,990PF,Basic Materials
DD,DuPont,516011641,CHICHESTER DUPONT FOUNDATION INC,202212,990PF,Basic Materials
DD,DuPont,814778118,DUPONT FAMILY CHARITABLE TRUST,202212,990PF,Basic Materials
DD,DuPont,596368632,JESSIE BALL DUPONT RELIGIOUS CHARITABLE &,202212,990PF,Basic Materials
