ein,foundation_name,donor_ticker,donor_company,relationship,notes
77-0532250,Agilent Technologies Foundation,A,Agilent Technologies,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
41-1948213,Apple Valley Foundation,AAPL,Apple Inc.,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
26-1215559,Abbvie Patient Assistance Foundation,ABBV,AbbVie,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
27-1820514,Accenture Charitable Trust Inc,ACN,Accenture,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
20-5189156,Casa Adobe Foundation,ADBE,Adobe Inc.,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
84-4029107,Analog Devices Foundation,ADI,Analog Devices,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
61-1703255,Autodesk Foundation,ADSK,Autodesk,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
43-6022693,Ameren Charitable Trust (Union Electric,AEE,Ameren,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
20-3886453,American Electric Power Foundation,AEP,American Electric Power,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
87-3898365,Aes Hawaii Foundation,AES,AES Corporation,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
82-4016978,Aflac Childhood Cancer Foundation Inc,AFL,Aflac,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
82-3001921,Assurant Cares Employee Support Fund,AIZ,Assurant,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
88-1905780,Albemarle Foundation For Education,ALB,Albemarle Corporation,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
36-6116535,The Allstate Foundation,ALL,Allstate,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
77-0386898,The Applied Materials Foundation,AMAT,Applied Materials,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
41-6038616,The Amcor Cares Foundation,AMCR,Amcor,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
13-6095939,Ametek Foundation Inc,AME,Ametek,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
22-3850021,Amgen Safety Net Foundation,AMGN,Amgen,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
81-5266916,American Tower Charitable Foundation Inc,AMT,American Tower,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
36-3337340,Aon Foundation,AON,Aon,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
27-1449069,Apa Heritage Foundation,APA,APA Corporation,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
23-2130928,Air Products Foundation,APD,Air Products,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
39-1366838,Aptiv Foundation Inc,APTV,Aptiv,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
26-4754581,Broadcom Foundation,AVGO,Broadcom,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
95-3251844,Avery Dennison Foundation,AVY,Avery Dennison,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
13-6123529,American Express Foundation,AXP,American Express,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
91-6056738,Boeing Company Charitable Trust,BA,Boeing,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
36-3159396,Baxter International Foundation,BAX,Baxter International,corporate_foundation,auto-added from IRS index scan (tier A — high confidence name match)
