ein_dashed,foundation_name,donor_ticker,donor_company,tier,why,notes
91-6056738,Boeing Company Charitable Trust,BA,Boeing,B2,starts with name,auto-flagged from IRS scan
20-3617312,Brown & Brown Disaster Relief Foundation Inc,BRO,Brown & Brown,B2,starts with name,auto-flagged from IRS scan
81-4778118,Dupont Family Charitable Trust,DD,DuPont,B2,starts with name,auto-flagged from IRS scan
58-1703733,Domino'S Pizza Partners Foundation,DPZ,Domino's,B2,starts with name,auto-flagged from IRS scan
33-0932587,Davita Children'S Foundation,DVA,DaVita,B2,starts with name,auto-flagged from IRS scan
01-0761416,Hormel Foods Corporation Charitable Trust,HRL,Hormel Foods,B2,starts with name,auto-flagged from IRS scan
37-1827916,Incyte Charitable Giving Foundation,INCY,Incyte,B2,starts with name,auto-flagged from IRS scan
85-1148214,Pultegroup Inc Charitable Foundation Inc,PHM,PulteGroup,B2,starts with name,auto-flagged from IRS scan
52-6081248,Pool & Hot Tub Foundation,POOL,Pool Corporation,B2,starts with name,auto-flagged from IRS scan
48-1307009,Rockwell Automation Charitable Corp,ROK,Rockwell Automation,B2,starts with name,auto-flagged from IRS scan
58-1686601,United Airlines Pilots Retirement Foundation,UAL,United Airlines Holdings,B2,starts with name,auto-flagged from IRS scan
88-6668828,Zebra Technologies Corporation Charitable Foundation,ZBRA,Zebra Technologies,B2,starts with name,auto-flagged from IRS scan
