ein_dashed,foundation_name,donor_ticker,donor_company,sector,relationship,tier,score,why,state,notes
77-0532250,Agilent Technologies Foundation,A,Agilent Technologies,Healthcare,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
30-0129206,Apple Foundation Inc,AAPL,Apple Inc.,Technology,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
46-0827839,Abbvie Foundation,ABBV,AbbVie,Healthcare,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
36-4296414,Accenture Foundation Inc,ACN,Accenture,Technology,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
26-0233808,Adobe Foundation,ADBE,Adobe Inc.,Technology,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
84-4029107,Analog Devices Foundation,ADI,Analog Devices,Technology,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
61-1703255,Autodesk Foundation,ADSK,Autodesk,Technology,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
43-6022693,Ameren Charitable Trust (Union Electric,AEE,Ameren,Utilities,corporate_foundation,A3,85,charitable trust/foundation,,auto-flagged from IRS scan
20-3886453,American Electric Power Foundation,AEP,American Electric Power,Utilities,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
82-2752694,Aes Crestwood Foundation Inc,AES,AES Corporation,Utilities,corporate_foundation,A2,90,company + foundation,,auto-flagged from IRS scan
58-2509396,The Aflac Foundation Inc,AFL,Aflac,Financial Services,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
13-3156497,Assurant Foundation,AIZ,Assurant,Financial Services,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
56-1538739,The Albemarle Foundation Inc,ALB,Albemarle Corporation,Basic Materials,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
36-6116535,The Allstate Foundation,ALL,Allstate,Financial Services,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
77-0386898,The Applied Materials Foundation,AMAT,Applied Materials,Technology,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
41-6038616,The Amcor Cares Foundation,AMCR,Amcor,Consumer Cyclical,corporate_foundation,A2,90,company + foundation,,auto-flagged from IRS scan
13-6095939,Ametek Foundation Inc,AME,Ametek,Industrials,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
77-0252898,The Amgen Foundation Inc,AMGN,Amgen,Healthcare,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
81-5266916,American Tower Charitable Foundation Inc,AMT,American Tower,Real Estate,corporate_foundation,A2,90,company + foundation,,auto-flagged from IRS scan
36-3337340,Aon Foundation,AON,Aon,Financial Services,corporate_foundation,A1,100,exact match,,auto-flagged from IRS scan
