ticker,company,exchange,sector,market_value_musd,sales_musd
A,"Agilent Technologies, Inc.",NYSE,Healthcare,32736.6523439856,7232
AA,Alcoa Corporation,NYSE,Non-Energy Materials,19303.543812393,12978
AAL,American Airlines Group Inc.,NASDAQ,Industrials,9867.86621745187,55994
AAON,"AAON, Inc.",NASDAQ,Industrials,11429.9598327461,1616.958
AAPL,Apple Inc.,NASDAQ,Technology,4565564.8406699,451442
ABBV,"AbbVie, Inc.",NYSE,Healthcare,380567.168391157,62819
ABNB,"Airbnb, Inc. Class A",NASDAQ,Consumer Services,79617.3204796939,12711
ABT,Abbott Laboratories,NYSE,Healthcare,149238.485072575,45134
ACGL,Arch Capital Group Ltd.,NASDAQ,Finance,31934.2088217004,19166
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,2215.48566451523,3371.066
ACI,"Albertsons Companies, Inc. Class A",NYSE,Consumer Non-Cyclicals,7927.39400228986,83172.5
ACM,AECOM,NYSE,Industrials,9209.95282479096,15985.834
ACN,Accenture Plc Class A,NYSE,Technology,108274.330035363,72110.322
ADBE,Adobe Inc.,NASDAQ,Technology,96296.6131285401,24451
ADC,Agree Realty Corporation,NYSE,Finance,8996.90564475534,749.945
ADI,"Analog Devices, Inc.",NASDAQ,Technology,203056.846001402,12740.193
ADM,Archer-Daniels-Midland Company,NYSE,Consumer Non-Cyclicals,38339.6444639787,80649
ADP,"Automatic Data Processing, Inc.",NASDAQ,Business Services,87002.1643525129,21600.4
ADSK,"Autodesk, Inc.",NASDAQ,Technology,50041.4238739014,7200
ADT,"ADT, Inc.",NYSE,Business Services,5393.61237826477,5139.645
AEE,Ameren Corporation,NYSE,Utilities,30752.6404891249,8878
AEP,"American Electric Power Company, Inc.",NASDAQ,Utilities,70499.6783961542,22161.8
AES,AES Corporation,NYSE,Utilities,10469.1554715447,12454
AFG,"American Financial Group, Inc.",NYSE,Finance,11098.6390469411,8092
AFL,Aflac Incorporated,NYSE,Finance,58456.9142761461,18112
AFRM,"Affirm Holdings, Inc. Class A",NASDAQ,Finance,23590.2569762151,3675.497
AGCO,AGCO Corporation,NYSE,Industrials,8274.84598399838,10374.4
AGNC,AGNC Investment Corp.,NASDAQ,Finance,12064.7361465292,3817
AGO,Assured Guaranty Ltd.,NYSE,Finance,3318.08497162856,914
AIG,"American International Group, Inc.",NYSE,Finance,39908.6217388096,26642
AIT,"Applied Industrial Technologies, Inc.",NYSE,Industrials,11555.3991757001,4838.729
AIZ,"Assurant, Inc.",NYSE,Finance,12488.9774980526,13160.4
AJG,Arthur J. Gallagher & Co.,NYSE,Finance,52112.165329895,14972.6
AKAM,"Akamai Technologies, Inc.",NASDAQ,Technology,20998.0198065946,4266.646
ALAB,"Astera Labs, Inc.",NASDAQ,Technology,55764.1440306245,1001.444
ALB,Albemarle Corporation,NYSE,Non-Energy Materials,20929.861877209,5494.583
ALGM,"Allegro MicroSystems, Inc.",NASDAQ,Technology,9124.89819335938,890.096
ALGN,"Align Technology, Inc.",NASDAQ,Healthcare,11665.160698819,4095.789
ALK,"Alaska Air Group, Inc.",NYSE,Industrials,5122.39025313291,14402
ALL,Allstate Corporation,NYSE,Finance,53762.3625834407,68174
ALLE,Allegion Public Limited Company,NYSE,Non-Energy Materials,11276.5036121348,4159.00000004761
ALLY,Ally Financial Inc,NYSE,Finance,13162.100260207,15614
ALNY,"Alnylam Pharmaceuticals, Inc",NASDAQ,Healthcare,39470.3226795048,4286.923
ALSN,"Allison Transmission Holdings, Inc.",NYSE,Industrials,9443.0909327307,3650
AM,Antero Midstream Corp.,NYSE,Energy,10121.823780452,1285.722
AMAT,"Applied Materials, Inc.",NASDAQ,Technology,355892.306259155,29024
AMCR,Amcor PLC,NYSE,Non-Energy Materials,18341.2519857562,23225.5387494342
AMD,"Advanced Micro Devices, Inc.",NASDAQ,Technology,808027.828288823,37454
AME,"AMETEK, Inc.",NYSE,Industrials,51886.9769223779,7597.582
AMG,"Affiliated Managers Group, Inc.",NYSE,Finance,8132.81002567499,2130.4
AMGN,Amgen Inc.,NASDAQ,Healthcare,181374.35383372,37302
AMH,American Homes 4 Rent Class A,NYSE,Finance,11567.9080142195,1878.75
AMKR,"Amkor Technology, Inc.",NASDAQ,Technology,17893.9173054444,7071.107
AMP,"Ameriprise Financial, Inc.",NYSE,Finance,39839.6932959661,19312
AMT,American Tower Corporation,NYSE,Finance,86180.8974333182,10819.3
AMTM,"Amentum Holdings, Inc.",NYSE,Industrials,5646.15018177265,14201
AMZN,"Amazon.com, Inc.",NASDAQ,Consumer Non-Cyclicals,2924320.24924994,742776
AN,"AutoNation, Inc.",NYSE,Consumer Cyclicals,6522.98380895751,27493.1
ANET,Arista Networks Inc,NYSE,Technology,194307.555797845,9709.9
AON,Aon Plc Class A,NYSE,Finance,68032.8035013289,17574
AOS,A. O. Smith Corporation,NYSE,Industrials,7995.43849984322,3811.9
APA,APA Corporation,NASDAQ,Energy,12944.0788900312,8611
APD,"Air Products and Chemicals, Inc.",NYSE,Non-Energy Materials,63626.5573088089,12463.2
APG,APi Group Corporation,NYSE,Industrials,18179.9409086206,8174
APH,Amphenol Corporation Class A,NYSE,Technology,172528.092627021,25903.8
APO,Apollo Global Management Inc,NYSE,Finance,75102.9394144425,31692
APP,AppLovin Corp. Class A,NASDAQ,Technology,190756.812891294,5839.145
APPF,AppFolio Inc Class A,NASDAQ,Finance,5764.20929669333,995.334
APTV,Aptiv PLC,NYSE,Consumer Cyclicals,13099.3110788277,20659
AR,Antero Resources Corporation,NYSE,Energy,10878.3420976782,5761.436951
ARE,"Alexandria Real Estate Equities, Inc.",NYSE,Finance,8701.27546288131,2939.42
ARES,Ares Management Corporation,NYSE,Finance,41752.1138782279,6816.502
ARMK,Aramark,NYSE,Consumer Services,14031.2017083457,19413.806
ARW,"Arrow Electronics, Inc.",NYSE,Technology,11122.1441972241,33512.466
AS,"Amer Sports, Inc.",NYSE,Consumer Cyclicals,21193.6619694089,7039.2
ASH,Ashland Inc.,NYSE,Non-Energy Materials,2624.09755971374,1808
ASTS,"AST SpaceMobile, Inc. Class A",NASDAQ,Telecommunications,50300.9450090274,84.935
ATI,Allegheny Technologies Incorporated,NYSE,Non-Energy Materials,23178.1370710311,4594.5
ATO,Atmos Energy Corporation,NYSE,Utilities,29417.9518129141,4881.241
ATR,"AptarGroup, Inc.",NYSE,Non-Energy Materials,7358.48266584874,3872.744
AU,Anglogold Ashanti PLC,NYSE,Non-Energy Materials,47733.3050124871,11166.00000003
AUR,"Aurora Innovation, Inc. Class A",NASDAQ,Consumer Cyclicals,13355.7928258157,4
AVB,"AvalonBay Communities, Inc.",NYSE,Finance,25906.8384412937,3139.247
AVGO,Broadcom Inc.,NASDAQ,Technology,1997366.95994139,68282
AVT,"Avnet, Inc.",NASDAQ,Technology,7141.01606256329,24955.101
AVTR,"Avantor, Inc.",NYSE,Healthcare,5735.144856737,6552.2
AVY,Avery Dennison Corporation,NYSE,Non-Energy Materials,12278.236017415,9005.7
AWI,"Armstrong World Industries, Inc.",NYSE,Non-Energy Materials,6818.37073632231,1648
AWK,"American Water Works Company, Inc.",NYSE,Utilities,24171.8222274408,5205
AXON,Axon Enterprise Inc,NASDAQ,Industrials,31541.2070442047,2983.248
AXP,American Express Company,NYSE,Finance,213254.303891949,82423
AXS,Axis Capital Holdings Limited,NYSE,Finance,7048.67864698684,6636.709
AXTA,Axalta Coating Systems Ltd.,NYSE,Non-Energy Materials,6491.18922653055,5109
AYI,Acuity Inc.,NYSE,Industrials,8995.72276925342,4587.1
AZO,"AutoZone, Inc.",NYSE,Consumer Cyclicals,49883.2426677654,19986.403
BA,Boeing Company,NYSE,Industrials,176816.209894721,92182
BAC,Bank of America Corp,NYSE,Finance,362635.755138259,193860
BAH,Booz Allen Hamilton Holding Corporation Class A,NYSE,Business Services,9697.04216299666,11217
BALL,Ball Corporation,NYSE,Non-Energy Materials,15045.588730055,13725
BAX,Baxter International Inc.,NYSE,Healthcare,9983.34561733482,11320
BBWI,"Bath & Body Works, Inc.",NYSE,Consumer Non-Cyclicals,3916.89021788217,7245
BBY,"Best Buy Co., Inc.",NYSE,Consumer Cyclicals,13598.2677832292,41860
BC,Brunswick Corporation,NYSE,Consumer Cyclicals,5429.26353796525,5519.1
BDX,"Becton, Dickinson and Company",NYSE,Healthcare,40570.575279458,20600
BEN,"Franklin Resources, Inc.",NYSE,Finance,16456.9084533415,8973.1
BEPC,Brookfield Renewable Holdings Corporation Class A,NYSE,Utilities,7061.71216851864,5118.91748792912
BF.B,Brown-Forman Corporation Class B,NYSE,Consumer Non-Cyclicals,12030.1563296406,3926
BFAM,"Bright Horizons Family Solutions, Inc.",NYSE,Consumer Non-Cyclicals,3289.49527315469,2980.302
BG,Bunge Global SA,NYSE,Consumer Non-Cyclicals,23511.1148934992,80542
BHF,"Brighthouse Financial, Inc.",NASDAQ,Finance,3595.53172461636,5903
BIIB,Biogen Inc.,NASDAQ,Healthcare,29080.0828160243,9600.4
BILL,"BILL Holdings, Inc.",NYSE,Technology,3456.00644958246,1600.323
BIO,"Bio-Rad Laboratories, Inc. Class A",NYSE,Healthcare,8164.2787126888,2589.9
BIRK,Birkenstock Holding plc,NYSE,Consumer Cyclicals,7869.34077078803,2530.95891186857
BJ,"BJ's Wholesale Club Holdings, Inc.",NYSE,Consumer Non-Cyclicals,10751.7020974963,21965.291
BKNG,Booking Holdings Inc.,NASDAQ,Consumer Services,130466.275449812,27687
BKR,Baker Hughes Company Class A,NASDAQ,Energy,62698.7403564977,27893
BLD,TopBuild Corp.,NYSE,Industrials,11749.9145075629,5621.668
BLDR,"Builders FirstSource, Inc.",NYSE,Industrials,8332.66368537582,14820.219
BLK,"BlackRock, Inc.",NYSE,Finance,174295.128982429,26276
BLSH,Bullish,NYSE,Finance,5158.37146902399,216387.97700258
BMRN,BioMarin Pharmaceutical Inc.,NASDAQ,Healthcare,10124.2391258226,3287.884
BMY,Bristol-Myers Squibb Company,NYSE,Healthcare,117459.941481661,48482
