ticker,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded
VEEV,Veeva Systems Inc.,Healthcare,Medical - Healthcare Information Services,"Pleasanton, California",2026-05-07,0001393052,2020-01-01
CASY,"Casey's General Stores, Inc.",Consumer Cyclical,Specialty Retail,"Ankeny, Iowa",2026-04-09,0000726958,1983-10-21
COHR,"Coherent, Inc.",Technology,"Hardware, Equipment & Parts","Santa Clara, California",2026-03-23,0000820318,2022-09-01
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,"San Jose, California",2026-03-23,0001633978,2015-02-10
SATS,EchoStar Corporation,Technology,Communication Equipment,"Englewood, Colorado",2026-03-23,0001415404,2010-04-01
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,"Westerville, Ohio",2026-03-23,0001674101,2015-12-31
CIEN,Ciena Corporation,Technology,Communication Equipment,"Hanover, Maryland",2026-02-09,0000936395,1991-12-31
CRH,CRH plc,Basic Materials,Construction Materials,"Dublin, ",2025-12-22,0000849395,1970-10-20
CVNA,Carvana Co.,Consumer Cyclical,Auto - Dealerships,"Tempe, Arizona",2025-12-22,0001690820,2012-04-28
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,"Houston, Texas",2025-12-22,0001035983,1997-06-01
ARES,Ares Management Corporation,Financial Services,Asset Management,"Los Angeles, California",2025-12-11,0001176948,1977-01-01
SNDK,Sandisk Corporation,Technology,"Hardware, Equipment & Parts","Milpitas, ",2025-11-28,0002023554,1988-06-01
Q,"Qnity Electronics, Inc.",Technology,Semiconductors,"Wilmington, Delaware",2025-11-03,0000000000,2025-11-02
APP,AppLovin Corporation,Technology,Software - Application,"Palo Alto, California",2025-09-22,0001751008,2012
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,"Norwalk, Connecticut",2025-09-22,0000105634,1994
HOOD,"Robinhood Markets, Inc.",Financial Services,Financial - Capital Markets,"Menlo Park, California",2025-09-22,0001783879,2013
IBKR,Interactive Brokers Group,Financial Services,Investment - Banking & Investment Services,"Greenwich, CT",2025-08-28,0001381197,1982
XYZ,"Block, Inc.",Technology,Software - Infrastructure,"Oakland, California",2025-07-23,0001512673,2009
TTD,"The Trade Desk, Inc.",Technology,Software - Application,"Ventura, California",2025-07-18,0001671933,2009
DDOG,Datadog,Technology,Software - Application,"New York City, New York",2025-07-09,0001561550,2010
COIN,Coinbase Global,Financial Services,Financial - Data & Stock Exchanges,"Wilmington, Delaware",2025-05-19,0001679788,2012
DASH,DoorDash,Communication Services,Internet Content & Information,"San Francisco, CA",2025-03-24,0001792789,2013
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, OK",2025-03-24,0000895126,1989
TKO,TKO Group Holdings,Communication Services,Entertainment,"New York, NY",2025-03-24,0001973266,2023
WSM,Williams-Sonoma,Consumer Cyclical,Specialty Retail,"San Francisco, CA",2025-03-24,0000719955,1956
APO,Apollo Global Management,Financial Services,Asset Management - Global,"New York City, New York",2024-12-23,0001858681,1990
LII,Lennox International,Industrials,Construction,"Richardson, Texas",2024-12-23,0001069202,1895
WDAY,"Workday, Inc.",Technology,Software - Application,"Pleasanton, California",2024-12-23,0001327811,2005
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",2024-11-26,0001811074,1888
DELL,Dell Technologies,Technology,Computer Hardware,"Round Rock, Texas",2024-09-23,0001571996,2016
ERIE,Erie Indemnity,Financial Services,Insurance - Brokers,"Erie, Pennsylvania",2024-09-23,0000922621,1925
PLTR,Palantir Technologies,Technology,Software - Infrastructure,"Denver, Colorado",2024-09-23,0001321655,2003
SW,Smurfit WestRock,Consumer Cyclical,Packaging & Containers,"Dublin, Ireland",2024-07-08,0002005951,1934
CRWD,CrowdStrike,Technology,Software - Infrastructure,"Austin, Texas",2024-06-24,0001535527,2011
GDDY,GoDaddy,Technology,Software - Infrastructure,"Tempe, Arizona",2024-06-24,0001609711,1997
KKR,KKR,Financial Services,Asset Management,"New York City, New York",2024-06-24,0001404912,1976
VST,Vistra Corp.,Utilities,Independent Power Producers,"Irving, Texas",2024-05-08,0001692819,2016
GEV,GE Vernova,Utilities,Renewable Utilities,"Cambridge, Massachusetts",2024-04-02,0001996810,2024
SOLV,Solventum,Healthcare,Medical - Care Facilities,"Saint Paul, Minnesota",2024-04-01,0001964738,2023
DECK,Deckers Brands,Consumer Cyclical,Apparel - Footwear & Accessories,"Goleta, California",2024-03-18,0000910521,1973
SMCI,Supermicro,Technology,Computer Hardware,"San Jose, California",2024-03-18,0001375365,1993
BLDR,Builders FirstSource,Industrials,Construction,"Irving, Texas",2023-12-18,0001316835,1998
JBL,Jabil,Technology,"Hardware, Equipment & Parts","St. Petersburg, Florida",2023-12-18,0000898293,1966
UBER,Uber,Technology,Software - Application,"San Francisco, California",2023-12-18,0001543151,2009
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,"Shelton, Connecticut",2023-10-18,0000048898,1888
LULU,Lululemon Athletica,Consumer Cyclical,Apparel - Retail,"Vancouver, Canada",2023-10-18,0001397187,1998
VLTO,Veralto,Industrials,Industrial - Pollution & Treatment Controls,"Waltham, Massachusetts",2023-10-02,0001967680,2023
ABNB,Airbnb,Consumer Cyclical,Travel Services,"San Francisco, California",2023-09-18,0001559720,2008
BX,Blackstone Inc.,Financial Services,Asset Management,"New York City, New York",2023-09-18,0001393818,1985
KVUE,Kenvue,Consumer Defensive,Household & Personal Products,"Skillman, New Jersey",2023-08-25,0001944048,2022
PANW,Palo Alto Networks,Technology,Software - Infrastructure,"Santa Clara, California",2023-06-20,0001327567,2005
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,0001069183,1993
FICO,Fair Isaac,Technology,Software - Application,"Bozeman, Montana",2023-03-20,0000814547,1956
BG,Bunge Global,Consumer Defensive,Agricultural Farm Products,"Chesterfield, Missouri",2023-03-15,0001996862,1818
PODD,Insulet Corporation,Healthcare,Medical - Devices,"Acton, Massachusetts",2023-03-15,0001145197,2000
GEHC,GE HealthCare,Healthcare,Medical - Healthcare Information Services,"Chicago, Illinois",2023-01-04,0001932393,1994
STLD,Steel Dynamics,Basic Materials,Steel,"Fort Wayne, Indiana",2022-12-22,0001022671,1993
FSLR,First Solar,Energy,Solar,"Tempe, Arizona",2022-12-19,0001274494,1999
ACGL,Arch Capital Group,Financial Services,Insurance - Diversified,"Hamilton, Bermuda",2022-11-01,0000947484,1995
TRGP,Targa Resources,Energy,Oil & Gas Midstream,"Houston, Texas",2022-10-12,0001389170,2005
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,0000033213,1888
